region,province,avg_income_62
ภาคกลาง,กรุงเทพมหานคร,39459.36
ภาคกลาง,สมุทรปราการ,24729.42
ภาคกลาง,นนทบุรี,37502.22
ภาคกลาง,ปทุมธานี,46977.74
ภาคกลาง,พระนครศรีอยุธยา,30589.95
ภาคกลาง,อ่างทอง,25821.05
ภาคกลาง,ลพบุรี,20784.92
ภาคกลาง,สิงห์บุรี,24681.5
ภาคกลาง,ชัยนาท,23203.61
ภาคกลาง,สระบุรี,30532.34
ภาคกลาง,ชลบุรี,28705.91
ภาคกลาง,ระยอง,24299.1
ภาคกลาง,จันทบุรี,28113.74
ภาคกลาง,ตราด,24173.78
ภาคกลาง,ฉะเชิงเทรา,22875.29
ภาคกลาง,ปราจีนบุรี,25843.22
ภาคกลาง,นครนายก,25784.78
ภาคกลาง,สระแก้ว,20685.4
ภาคกลาง,ราชบุรี,25162.91
ภาคกลาง,กาญจนบุรี,20842.2
ภาคกลาง,สุพรรณบุรี,16504.07
ภาคกลาง,นครปฐม,34436.05
ภาคกลาง,สมุทรสาคร,23442.78
ภาคกลาง,สมุทรสงคราม,38395.32
ภาคกลาง,เพชรบุรี,26814.37
ภาคกลาง,ประจวบคีรีขันธ์,25411.74
ภาคเหนือ,เชียงใหม่,20443.21
ภาคเหนือ,ลำพูน,23600.12
ภาคเหนือ,ลำปาง,23928.99
ภาคเหนือ,อุตรดิตถ์,21425.26
ภาคเหนือ,แพร่,21398.36
ภาคเหนือ,น่าน,18041.55
ภาคเหนือ,พะเยา,14353.79
ภาคเหนือ,เชียงราย,15056.38
ภาคเหนือ,แม่ฮ่องสอน,13970.93
ภาคเหนือ,นครสวรรค์,22137.0
ภาคเหนือ,อุทัยธานี,19873.05
ภาคเหนือ,กำแพงเพชร,19264.31
ภาคเหนือ,ตาก,17654.59
ภาคเหนือ,สุโขทัย,22358.6
ภาคเหนือ,พิษณุโลก,20199.16
ภาคเหนือ,พิจิตร,21229.41
ภาคเหนือ,เพชรบูรณ์,24623.56
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,25735.93
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,14742.31
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,20238.21
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,16136.56
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,18397.86
ภาคตะวันออกเฉียงเหนือ,ยโสธร,17768.39
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,20856.32
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,20320.06
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,22787.29
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,18745.43
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,19252.5
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,25766.53
ภาคตะวันออกเฉียงเหนือ,เลย,25422.29
ภาคตะวันออกเฉียงเหนือ,หนองคาย,20579.85
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,22191.96
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,18818.99
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,19088.97
ภาคตะวันออกเฉียงเหนือ,สกลนคร,18451.97
ภาคตะวันออกเฉียงเหนือ,นครพนม,23431.14
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,18842.75
ภาคใต้,นครศรีธรรมราช,28412.35
ภาคใต้,กระบี่,28521.69
ภาคใต้,พังงา,22443.69
ภาคใต้,ภูเก็ต,36699.01
ภาคใต้,สุราษฎร์ธานี,32014.02
ภาคใต้,ระนอง,27600.25
ภาคใต้,ชุมพร,29782.0
ภาคใต้,สงขลา,20781.1
ภาคใต้,สตูล,22253.58
ภาคใต้,ตรัง,26004.22
ภาคใต้,พัทลุง,20084.91
ภาคใต้,ปัตตานี,22903.84
ภาคใต้,ยะลา,16588.15
ภาคใต้,นราธิวาส,17716.5
