province,employ_62,unemploy_62
กระบี่,212865.74,3648.87
กรุงเทพมหานคร,5264292.95,32313.31
กาญจนบุรี,463672.98,1885.19
กาฬสินธุ์,409106.41,321.65
กำแพงเพชร,405775.09,5842.89
ขอนแก่น,896423.59,15234.82
จันทบุรี,349694.05,1505.35
ฉะเชิงเทรา,433755.56,1488.93
ชลบุรี,1045175.09,3336.96
ชัยนาท,177256.71,1902.29
ชัยภูมิ,426721.2,2003.48
ชุมพร,287459.15,765.57
ตรัง,373028.18,2322.98
ตราด,170963.82,516.83
ตาก,237959.69,1661.86
นครนายก,154910.01,161.48
นครปฐม,675641.41,4320.43
นครพนม,268500.37,3694.61
นครราชสีมา,1198716.65,26165.15
นครศรีธรรมราช,816640.11,12564.49
นครสวรรค์,502131.04,5754.7
นนทบุรี,956435.38,7715.1
นราธิวาส,312807.68,20864.3
น่าน,236938.11,824.24
บึงกาฬ,174123.3,2236.48
บุรีรัมย์,646138.63,4026.3
ปทุมธานี,949136.36,15237.97
ประจวบคีรีขันธ์,255331.0,658.35
ปราจีนบุรี,353495.29,4934.33
ปัตตานี,304981.21,6191.95
พระนครศรีอยุธยา,486961.34,10211.69
พะเยา,215475.19,286.5
พังงา,143480.76,2295.45
พัทลุง,288122.21,2507.95
พิจิตร,284419.49,2027.9
พิษณุโลก,476004.08,12379.17
ภูเก็ต,322774.15,4519.18
มหาสารคาม,412080.16,1870.94
มุกดาหาร,195454.12,473.62
ยะลา,218647.22,1814.67
ยโสธร,287116.85,0.0
ระนอง,133276.96,1373.23
ระยอง,571825.01,4048.48
ราชบุรี,444603.73,6985.2
ร้อยเอ็ด,552303.56,3062.73
ลพบุรี,448096.62,6073.49
ลำปาง,402428.95,3495.61
ลำพูน,253937.39,795.27
ศรีสะเกษ,539190.82,2604.99
สกลนคร,369863.85,580.2
สงขลา,835629.1,30363.05
สตูล,150370.36,1758.23
สมุทรปราการ,1349805.86,13941.48
สมุทรสงคราม,108470.98,593.47
สมุทรสาคร,705950.17,2960.73
สระบุรี,390716.36,5106.75
สระแก้ว,322857.63,5456.46
สิงห์บุรี,110796.97,2135.79
สุพรรณบุรี,463115.59,758.73
สุราษฎร์ธานี,609693.51,4006.84
สุรินทร์,531664.91,5380.07
สุโขทัย,332306.55,5484.07
หนองคาย,205320.57,1471.93
หนองบัวลำภู,229829.71,5256.98
อำนาจเจริญ,133989.38,259.09
อุดรธานี,613800.86,945.13
อุตรดิตถ์,216567.55,1327.59
อุทัยธานี,151781.98,226.85
อุบลราชธานี,901275.84,2674.98
อ่างทอง,135350.01,1942.64
เชียงราย,594828.05,2714.18
เชียงใหม่,985826.29,6274.15
เพชรบุรี,279793.17,2168.28
เพชรบูรณ์,471303.41,5755.35
เลย,309381.07,1187.63
แพร่,230905.58,3160.31
แม่ฮ่องสอน,105453.46,658.73
